"GEO_ID","NAME","B25031_001E","B25031_001M","B25031_002E","B25031_002M","B25031_003E","B25031_003M","B25031_004E","B25031_004M","B25031_005E","B25031_005M","B25031_006E","B25031_006M","B25031_007E","B25031_007M",
"Geography","Geographic Area Name","Estimate!!Median gross rent --!!Total:","Margin of Error!!Median gross rent --!!Total:","Estimate!!Median gross rent --!!Total:!!No bedroom","Margin of Error!!Median gross rent --!!Total:!!No bedroom","Estimate!!Median gross rent --!!Total:!!1 bedroom","Margin of Error!!Median gross rent --!!Total:!!1 bedroom","Estimate!!Median gross rent --!!Total:!!2 bedrooms","Margin of Error!!Median gross rent --!!Total:!!2 bedrooms","Estimate!!Median gross rent --!!Total:!!3 bedrooms","Margin of Error!!Median gross rent --!!Total:!!3 bedrooms","Estimate!!Median gross rent --!!Total:!!4 bedrooms","Margin of Error!!Median gross rent --!!Total:!!4 bedrooms","Estimate!!Median gross rent --!!Total:!!5 or more bedrooms","Margin of Error!!Median gross rent --!!Total:!!5 or more bedrooms",
"1600000US0119648","Daphne city, Alabama","1308","135","-","**","979","135","1235","82","1680","86","2135","213","-","**",
"1600000US0119744","Dauphin Island town, Alabama","1268","572","-","**","-","**","-","**","1464","217","-","**","-","**",
"1600000US0119816","Daviston town, Alabama","-","**","-","**","-","**","-","**","-","**","-","**","-","**",
"1600000US0119912","Dayton town, Alabama","-","**","-","**","-","**","-","**","-","**","-","**","-","**",
"1600000US0120008","Deatsville town, Alabama","1440","163","-","**","-","**","-","**","1382","246","1547","502","-","**",
"1600000US0120104","Decatur city, Alabama","801","46","538","276","627","45","788","34","1060","53","1424","121","-","**",
"1600000US0120152","Deer Park CDP, Alabama","-","**","-","**","-","**","-","**","-","**","-","**","-","**",
"1600000US0120272","Delta CDP, Alabama","-","**","-","**","-","**","-","**","-","**","-","**","-","**",
"1600000US0120296","Demopolis city, Alabama","679","103","-","**","575","9","638","181","922","145","1056","294","-","**",
"1600000US0120392","Detroit town, Alabama","383","115","-","**","-","**","-","**","567","281","760","163","-","**",
"1600000US0120955","Dodge City town, Alabama","836","201","-","**","-","**","-","**","805","210","-","**","-","**",
"1600000US0121136","Dora city, Alabama","725","38","-","**","-","**","715","25","865","208","-","**","-","**",
"1600000US0121184","Dothan city, Alabama","871","21","760","212","627","30","789","15","1013","30","1070","46","1808","1230",
"1600000US0121280","Double Springs town, Alabama","606","152","-","**","523","338","613","113","-","**","-","**","-","**",
"1600000US0121328","Douglas town, Alabama","795","106","-","**","-","**","645","56","947","105","-","**","-","**",
"1600000US0121448","Dozier town, Alabama","563","75","-","**","-","**","-","**","588","182","570","15","-","**",
"1600000US0121890","Dunnavant CDP, Alabama","1022","311","-","**","-","**","-","**","-","**","-","**","-","**",
"1600000US0121952","Dutton town, Alabama","338","236","-","**","-","**","-","**","-","**","-","**","-","**",
"1600000US0122088","Eagle Point CDP, Alabama","-","**","-","**","-","**","-","**","-","**","-","**","-","**",
