State,Reviewing and approving authorities for projects not requiring rezoning,Reviewing and approving authorities for rezoning,Allows Accessory Dwelling Units,Median height restriction (feet),Modal height restriction (feet),Median parking spaces required,Modal parking spaces required,Proportion of residential districts (including mixed use) in municipality that permit multi-family housing,Explicit growth controls index,Open space requirements index ,Minimum lot size index,Maximum permitted density index,Inclusionary zoning programmes index,Maximum height index,Zoning Restrictiveness Index,Owner-occupied housing units with a mortgage,Mortgage Value Median (dollars),Only Second mortgage,Only Home equity loan,Both second mortgage and home equity loan,No second mortgage and no home equity loan,Home equity loan without a primary mortgage,Median household income (dollars),Median Monthly Household Costs (dollars),Median Real Estate Taxes (dollars),Median Gross Rent Total,Median Gross Rent Total 1 bedroom,Median Gross Rent Total 2 bedroom,Median Gross Rent Total 3 bedroom,City,lat,lng,population,density,Cluster
AR,3,2,0,35,35,2,2,0.6,0,0,1,2,0,35,1.200769891,781,85600,20,0,0,746,15,57165,915,545,754,446,754,901,Forrest City,35.0135,-90.7931,13010,248.1,3
AR,0,3,0,35,35,1.5,1,0.3,0,0,1,4,0,35,-0.52132331,1828,173500,0,36,0,1781,11,83929,1212,1259,816,511,728,996,Greenwood,35.2134,-94.2408,9544,340.4,3
AR,1,1,0,35,60,2,2,0.222222222,0,0,4,3,1,35,1.560394773,5191,159600,59,244,0,4793,95,71588,1148,886,857,618,875,1109,Hot Springs,34.4892,-93.0501,38025,392,3
AR,2,3,0,17.5,10,1,1,0.461538462,0,1,4,2,0,17.5,2.65271987,3553,156800,122,196,33,3028,174,81639,1237,1169,876,624,744,1158,Jacksonville,34.8807,-92.1304,29332,395.3,7
AR,1,2,0,35,35,1.25,2,0.333333333,0,0,1,2,0,35,0.40908758,798,94900,0,0,0,789,9,58955,916,714,712,377,705,846,Malvern,34.3734,-92.8205,10859,425.1,3
AR,2,2,0,45,35,2,1.5,0.125,0,1,1,1,0,45,1.665593925,8512,163900,203,373,6,7702,228,87716,1187,1322,995,800,1012,1132,North Little Rock,34.7807,-92.2371,64454,469.2,3
AR,2,2,1,35,35,2,2,0.875,0,0,1,1,0,35,1.150021136,3884,109700,177,154,5,3536,12,60904,1103,799,819,579,806,1004,Pine Bluff,34.2116,-92.0173,41172,359.8,3
AR,2,3,1,50,40,2,2,0.454545455,0,1,4,1,0,50,2.99781227,9934,258300,201,513,0,9120,100,110381,1520,1576,1113,851,985,1228,Rogers,36.317,-94.1531,69961,694.5,3
AR,0,1,0,35,35,1,1,0.142857143,0,0,3,1,0,35,0.987125945,2339,193400,74,89,0,2169,7,88259,1331,1426,892,720,834,1160,Siloam Springs,36.1844,-94.5315,17632,569.8,3
AR,2,3,0,35,60,2.25,1,0.409090909,0,1,3,1,0,35,2.605611177,9557,212500,148,488,0,8907,14,95774,1339,1301,920,649,886,1226,Springdale,36.1901,-94.1574,86705,672.6,3
AR,3,3,1,10,10,2,2,0.571428571,0,0,1,1,0,10,1.701477357,808,120000,0,54,0,754,0,78816,1037,706,628,290,615,1114,Trumann,35.677,-90.5259,7383,491.3,7
CA,2,2,1,35,35,1.25,1,0.111111111,0,1,2,2,1,35,2.188113998,4191,964000,85,523,58,3426,99,196784,3906,8057,3056,2613,2677,4000,Agoura Hills,34.151,-118.7609,20088,994.9,1
CA,3,2,1,20,15,2,1,0.8,0,1,1,1,1,20,2.53684646,7561,795700,84,706,55,6654,62,119027,2918,5893,1788,1495,1863,2203,Alhambra,34.084,-118.1355,82295,4163.8,4
CA,2,2,1,32.5,40,1.25,1,0.545454545,0,1,3,1,1,32.5,2.925407491,3286,671500,29,301,21,2920,15,150900,2928,5557,2313,2225,1903,2403,American Canyon,38.1796,-122.2583,21669,1373.2,1
CA,3,2,1,30,30,2,1,0.4375,0,1,3,1,1,30,3.321248647,34556,735600,742,2717,155,30543,399,143197,2898,5481,1958,1679,2072,2505,Anaheim,33.839,-117.8574,347111,2665.3,1
CA,3,2,1,40,65,1,1,0.666666667,0,1,4,2,1,40,3.368357339,1721,279600,74,86,0,1552,9,86914,1654,2399,979,418,1054,1338,Anderson,40.4497,-122.295,11267,618.7,7
CA,2,2,1,30,30,2,1,0.692307692,0,0,2,1,1,30,2.017633609,6261,1305500,32,684,19,5483,43,170417,3976,10000,1997,1456,2089,2815,Arcadia,34.1342,-118.0373,56181,1985.2,1
CA,3,2,1,30,14,2,1,0.111111111,0,1,4,1,1,30,3.71344974,2988,739200,0,409,17,2521,41,130978,2731,5674,1993,1232,2005,2582,Arroyo Grande,35.1241,-120.5845,18435,1198.5,4
CA,2,2,1,14,14,4,1,0.625,0,0,1,2,1,14,1.280340115,925,202400,0,34,0,891,0,64609,1233,1892,1043,984,741,1110,Avenal,36.0311,-120.1162,13423,266,7
CA,3,2,0,45,35,2,2,0.666666667,0,1,1,1,0,45,2.06143508,54653,328200,1036,1813,106,51474,224,106246,1949,3503,1283,931,1170,1598,Bakersfield,35.3529,-119.0359,571992,1038.8,4
CA,3,2,0,27,27,1,1,0.375,0,1,2,1,1,27,2.929047554,7322,556900,281,364,64,6577,36,95330,2173,4099,1757,1344,1685,1988,Baldwin Park,34.0829,-117.9722,71692,4173.7,4
CA,3,2,1,37,55,2,1,0.125,0,1,4,2,1,37,3.368357339,3981,313600,37,186,0,3698,60,73233,1681,2673,1404,887,1362,1888,Banning,33.946,-116.8992,29929,497.3,4
CA,2,2,1,35,35,1.5,1,0.5,0,1,4,3,1,35,2.627423784,1975,211400,116,132,0,1720,7,96915,1284,1677,978,731,966,1189,Barstow,34.8661,-117.0471,25235,235.9,7
CA,3,2,1,30,35,2,1,0.333333333,0,0,1,2,1,30,1.676181271,10215,436600,241,429,33,9426,86,118031,2442,6118,1437,827,1113,2088,Beaumont,33.9076,-116.9766,53544,681.6,4
CA,2,2,1,28,28,1,1,0.714285714,0,1,1,1,1,28,2.141005305,4378,2000000,131,651,30,3549,17,250000,4000,10000,2842,2422,3229,4000,Belmont,37.5154,-122.2953,27820,2320.2,1
CA,3,2,1,17,10,2,1,0.3,0,1,2,1,1,17,2.929047554,5778,752100,159,783,21,4729,86,159688,2943,5567,2220,1636,2194,2926,Benicia,38.0725,-122.1526,27040,814.8,1
CA,3,2,1,26,14,2,1,0.492063492,0,1,1,1,1,26,2.53684646,3772,2000000,136,576,50,2945,65,226806,4000,10000,2675,2368,3309,4000,Beverly Hills,34.0786,-118.4021,32406,2191.9,1
CA,3,2,1,14,14,2,1,0.3,2,1,3,1,1,14,3.7875189,902,555700,0,0,0,864,38,126591,2126,4104,1126,745,1142,1877,Big Bear Lake,34.2429,-116.8951,5059,313,4
CA,3,2,0,34,34,2,2,0.166666667,0,0,4,2,0,34,2.37737317,1562,207300,52,14,0,1487,9,72955,1481,1763,890,777,982,1070,Blythe,33.6219,-114.6195,17949,261.5,3
CA,3,2,1,45,35,2,2,0.571428571,0,1,2,1,1,45,2.929047554,7245,852100,117,683,0,6390,55,162882,3255,7124,2218,1850,2321,3028,Brea,33.9254,-117.8655,47099,1494.2,1
CA,3,2,1,30,30,2,2,0.266666667,2,1,4,1,1,30,4.179719993,13235,742900,323,1330,126,11394,62,162485,3271,7722,2451,1375,2172,2696,Brentwood,37.9356,-121.719,64443,1673.8,1
CA,2,2,1,25,35,1,1,0.833333333,0,1,1,2,1,25,1.795912905,866,692100,61,35,0,770,0,144148,3072,6105,2066,1057,1685,2352,Buellton,34.6152,-120.1943,5151,1257,4
